protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNURY,South,2023.0,2023-09-20 00:00:00.000000 UTC,ORODR3_PALMAR_RANCHONUEVO_EARLY_2324_RIEGO,-33.0769272,-57.229604,DK7210RR2,PDIP,,49.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-09-21 00:00:00.000000 UTC,ORODR3_MERCEDES_AMELIABORIOA_EARLY_2324,-33.4979764,-57.8316801,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-09-22 00:00:00.000000 UTC,ORODR3_PAYSANDU_SANFRANCISCOJAVIER_EARLY_2324,-32.5491851,-57.8139089,DK7210RR2,PDIP,,48.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-09-22 00:00:00.000000 UTC,ORODR3_PAYSANDU_SANFRANCISCOJAVIER_EARLY_2324,-32.5491851,-57.8139089,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-12-29 00:00:00.000000 UTC,ORODR3_YOUNG_DOSCEIBOS_LATE_2324,-32.9193765,-57.6953857,DK7210RR2,PDIP,,100.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPUNT,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7210RR2,PDIP,,91.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPFUN,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPUNT,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPUNT,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-27 00:00:00.000000 UTC,DBORE_ELARANADO_SIMEONI_LATE_F23,-31.75417197,-62.87121098,DK7272VT3P,PDIP,,65.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-27 00:00:00.000000 UTC,DBORE_ELARANADO_SIMEONI_LATE_F23,-31.75417197,-62.87121098,NK842VIPTERA3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPFUN,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,NK842VIPTERA3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPUNT,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-27 00:00:00.000000 UTC,DBORE_ELARANADO_SIMEONI_LATE_F23,-31.75417197,-62.87121098,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-27 00:00:00.000000 UTC,DBORE_ELARANADO_SIMEONI_LATE_F23,-31.75417197,-62.87121098,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPUNT,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,NK842VIPTERA3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPFUN,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7210RR2,PDIP,,91.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPUNT,South,2023.0,2023-12-31 00:00:00.000000 UTC,DBORE_LAFRANCIA_FALCO_LATE_FFUNG23,-31.40501399,-62.68772803,DK7272VT3P,PDIP,,58.0,,H2H_STABILITY_SURVIVAL
