protocolType,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,createdTechnology,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_observationRepetition,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,23.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,24.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,25.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,26.0,7.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,27.0,5.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,28.0,6.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,29.0,2.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,30.0,4.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,1.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,2.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,3.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,4.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,5.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,6.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,7.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,8.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,9.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,10.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,11.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,12.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,13.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,14.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,15.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,16.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,17.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,SF9_SUB,N/A,18.0,0.0,,FTNTEMP
